municipal,population_2007,population_2008,population_2009,population_2010,population_2011,population_2012,population_2013,population_2014,population_2015,population_2016,population_2017,population_2018,population_2019,cases_2007,cases_2008,cases_2009,cases_2010,cases_2011,cases_2012,cases_2013,cases_2014,cases_2015,cases_2016,cases_2017,cases_2018,cases_2019,age_0_to_4,age_5_to_14,age_15_to_29,age_30_and_up,illiterate,secondary_education,employed,unemployed,men,women,households_without_water_access,households_without_internet_access,houses_per_km2
medellin,2286126,2309689,2331389,2353410,2379920,2410046,2428850,2436071,2431666,2420516,2414616,2427129,2483545,5,902,413,15570,802,713,2342,3161,3785,17306,2100,1172,1276,5.16,11.96,26.71,56.16,3.17,67.43,43.23,5.64,47.01,52.99,1.44,29.47,2102.057895
abejorral,20643,20944,21197,21355,20973,20067,19732,19796,19897,19979,20047,20367,20258,0,1,0,79,1,0,0,0,2,5,1,2,0,5.24,14.92,22.29,57.55,9.89,33.65,39.6,0.89,51.93,48.07,21.87,56.27,11.945674
abriaqui,2261,2290,2321,2353,2386,2424,2471,2488,2514,2539,2593,2695,2710,0,0,0,3,0,0,0,0,0,2,0,1,2,6.07,14.08,23.76,56.09,6.72,45.72,36.78,1.85,54.24,45.76,24.03,62.35,2.548276
alejandria,3935,4020,4096,4171,4244,4337,4419,4467,4511,4543,4570,4657,4669,0,0,0,5,0,0,1,0,0,5,0,0,0,6.59,15.73,21.91,55.77,8.75,38.79,37.07,1.25,49.8,50.2,17.06,54.61,9.092715
amaga,27996,28331,28624,28839,28776,28371,28259,28432,28691,29006,29429,30227,30777,0,2,1,297,13,3,3,3,120,196,17,3,16,5.42,13.36,25.71,55.5,7.68,51.67,39.21,3.36,49.37,50.63,3.31,56.12,102.752941
amalfi,21363,21745,22124,22515,22937,23380,23787,24145,24444,24794,25205,25962,26552,0,3,0,0,1,3,2,3,5,4,2,3,6,6.5,17.97,26.95,48.58,10.2,40.78,38.31,2.74,50.22,49.78,31.18,59.46,5.373366000000001
andes,41223,41480,41830,42159,42281,42105,42118,42328,42495,42564,42614,43269,43713,0,3,1,40,3,0,5,9,14,188,6,2,1,5.79,14.73,25.3,54.18,10.08,41.52,38.89,1.98,51.85,48.15,26.47,66.17,26.946548
angelopolis,7868,7966,8029,7973,7291,6102,5684,5651,5659,5649,5669,5756,5790,0,0,0,1,0,0,0,1,1,5,0,0,0,5.57,14.64,24.47,55.32,9.57,41.62,39.07,1.93,50.49,49.51,8.39,45.96,19.735632
angostura,10559,10441,10499,10611,10744,10884,11007,11096,11174,11210,11241,11437,11462,0,0,0,2,0,0,0,2,4,1,0,0,0,6.67,17.38,26.59,49.36,12.69,34.75,34.38,2.53,50.73,49.27,19.29,68.53,7.994897999999999
anori,10108,10305,10545,10776,11077,11471,12077,13067,14568,16180,17394,18321,18737,0,7,0,6,1,1,3,10,21,3,4,3,16,7.71,20.7,28.59,43.0,10.87,35.8,35.21,2.63,51.74,48.26,33.61,62.39,3.1783
santa fe de antioquia,23401,23663,23928,24215,24525,24855,25136,25347,25489,25600,25727,26164,26598,3,18,82,305,23,18,110,104,129,115,22,10,85,6.08,15.37,25.56,52.98,8.67,48.17,40.01,3.86,49.69,50.31,6.15,46.8,15.466934
anza,6621,6591,6610,6667,6721,6792,6831,6872,6903,6910,6905,7010,7085,0,1,0,37,20,0,9,28,2,0,1,0,5,6.78,16.69,26.0,50.53,13.79,32.65,39.25,1.85,51.72,48.28,18.0,68.05,8.191406
apartado,113220,111883,112089,112914,114241,115856,117088,117992,118489,118802,119318,121003,124647,1,89,53,48,67,98,103,119,85,76,138,387,578,7.72,18.42,29.13,44.72,6.08,57.72,36.3,5.54,49.22,50.78,6.81,49.8,57.013180000000006
arboletes,30737,30949,31226,31366,30695,29209,28676,28728,28808,28865,28862,29295,29942,0,49,12,5,15,54,41,27,44,51,50,96,49,8.22,21.14,24.66,45.98,11.95,45.47,25.86,6.06,50.3,49.7,34.7,78.56,10.130919
argelia,7083,7170,7279,7377,7482,7585,7665,7734,7759,7727,7676,7689,7577,0,0,0,3,0,0,0,2,0,2,0,1,0,6.83,18.6,24.23,50.34,9.85,37.35,36.97,1.91,51.75,48.25,22.68,62.63,8.743191
armenia,5301,5359,5418,5473,5458,5405,5396,5388,5321,5218,5123,5139,5085,1,13,1,15,2,2,2,9,9,16,0,0,1,4.4,13.14,18.43,64.02,16.52,33.67,36.45,2.44,50.07,49.93,17.59,59.92,12.378378
barbosa,44052,44568,45077,45585,46201,46818,47312,47765,48268,48938,49978,51969,53242,0,2,12,100,21,13,37,14,17,125,107,78,40,5.01,13.2,25.06,56.73,5.92,54.85,42.58,4.04,49.62,50.38,22.69,56.29,76.572115
belmira,5846,5848,5880,5923,5916,5854,5859,5884,5908,5917,5911,6000,6054,0,1,0,0,0,0,0,0,0,3,0,1,0,6.26,17.48,27.0,49.26,7.63,45.13,39.04,1.03,50.83,49.17,28.28,55.99,5.526882
bello,384814,388988,393035,397639,405040,417010,427104,437979,455952,481333,504580,522264,538527,2,152,93,1362,151,140,456,640,605,1749,204,89,88,5.6,12.86,27.85,53.69,3.01,66.68,41.82,5.41,48.14,51.86,5.89,32.23,1092.288732
betania,10445,10558,10670,10732,10602,10255,10105,10123,10153,10161,10168,10323,10274,0,0,0,20,0,0,2,3,4,115,11,3,2,6.21,16.6,25.02,52.17,12.56,34.14,37.7,1.28,52.12,47.88,30.44,61.11,15.252941
betulia,15933,15973,16074,16165,15968,15436,15259,15317,15362,15374,15384,15607,15736,0,4,1,6,0,2,2,2,2,49,12,8,1,6.94,17.83,26.19,49.04,14.65,33.07,38.71,1.07,51.38,48.62,19.34,62.6,18.470588
ciudad bolivar,28998,29324,29638,29987,30336,30676,30794,30404,29245,27585,26369,26118,26160,13,30,57,374,30,9,53,40,47,84,18,9,10,5.6,15.3,24.07,55.02,10.92,42.22,39.08,2.54,50.01,49.99,15.7,58.26,25.754386
briceno,8189,8280,8372,8426,8307,7991,7848,7853,7889,7895,7906,8039,8065,0,0,0,0,0,2,3,2,2,1,4,27,7,7.47,22.22,26.15,44.16,13.25,31.74,21.51,13.52,51.65,48.35,31.33,69.5,4.714286
buritica,6871,7030,7180,7348,7518,7688,7856,8020,8203,8488,8839,9354,9502,0,0,0,1,0,0,1,1,3,12,26,1,10,7.27,18.05,27.28,47.4,11.04,36.42,34.26,3.47,52.3,47.7,11.99,68.38,5.880434999999999
caceres,28252,28501,28754,28999,28916,28447,28350,28459,28573,28609,28572,28996,29716,0,4,15,19,7,10,17,62,21,8,5,80,25,9.0,23.81,26.17,41.02,15.39,34.5,30.5,2.41,52.13,47.87,52.6,74.05,3.767034
caicedo,7617,7663,7731,7809,7922,8002,8077,8139,8168,8174,8164,8297,8420,0,0,0,2,1,1,0,0,1,8,1,0,0,7.34,18.27,26.7,47.69,11.81,33.6,28.85,9.6,50.38,49.62,16.71,65.24,10.063348
caldas,70408,71196,71954,72728,73675,74721,75547,76210,76756,77356,78178,79638,81658,0,0,0,0,0,7,16,15,18,174,5,7,13,4.62,11.2,25.42,58.75,3.41,63.0,43.95,4.0,47.98,52.02,4.41,32.91,181.827068
campamento,3926,4283,4804,5497,6317,7130,7803,8298,8619,8820,8961,9203,9202,0,0,0,1,1,0,0,4,0,3,0,0,0,6.49,20.22,26.0,47.3,14.36,28.43,37.02,1.04,51.6,48.4,32.32,64.87,10.945
canasgordas,17159,17364,17528,17556,17025,15827,15251,15219,15262,15298,15296,15523,15490,0,2,6,1,6,2,27,2,75,26,6,1,3,6.36,16.75,24.44,52.45,10.24,43.16,33.95,5.68,50.62,49.38,28.09,74.13,11.161125
caracoli,4880,4943,5007,5055,5119,5175,5207,5198,5134,4934,4695,4582,4537,0,3,0,0,3,0,17,37,5,5,3,3,16,5.55,14.12,21.05,59.29,10.26,39.93,42.27,1.87,50.59,49.41,12.33,61.02,5.711538
caramanta,5536,5605,5663,5712,5791,5858,5863,5807,5591,5204,4867,4743,4670,0,1,0,0,0,0,0,0,0,1,0,0,0,4.33,15.2,20.17,60.3,8.15,40.08,36.71,2.44,50.32,49.68,14.4,64.4,17.511627999999998
carepa,43367,43811,44269,44758,45325,45965,46453,46812,46999,47085,47252,47932,49659,1,24,53,72,51,74,55,68,64,101,15,93,103,8.05,20.3,29.99,41.66,7.72,51.88,33.77,3.33,50.05,49.95,14.24,65.81,36.342105
el carmen de viboral,43071,44046,45023,46124,47351,48746,50112,51514,53139,55075,57093,59416,61122,0,2,0,3,1,0,3,4,2,5,1,0,0,6.7,14.56,26.74,52.0,5.81,57.15,44.87,2.44,49.51,50.49,4.45,44.67,36.716518
carolina,4013,4071,4113,4150,4213,4263,4301,4310,4259,4133,4000,3954,3954,0,0,0,0,1,1,0,0,0,1,0,1,0,3.86,11.85,21.51,62.79,6.67,57.43,35.0,6.46,49.24,50.76,9.72,52.63,6.3
caucasia,84996,85519,86268,87143,88224,89485,90429,91014,91203,90925,90361,90213,93044,0,63,23,70,86,51,35,56,105,57,16,95,69,8.44,19.63,26.94,45.0,8.24,52.03,35.8,4.8,48.43,51.57,11.07,59.36,17.38129
chigorodo,53220,52909,53102,53543,54186,54957,55534,55942,56201,56345,56584,57375,58684,0,14,9,24,17,50,44,52,7,16,18,134,161,8.17,20.39,28.91,42.54,9.73,51.04,33.22,5.84,48.39,51.61,16.38,64.79,27.006579
cisneros,9952,10056,10157,10257,10407,10542,10605,10630,10504,10251,9934,9775,9844,0,17,3,13,7,4,21,22,25,82,43,4,27,5.5,14.31,22.44,57.76,5.25,52.12,33.7,5.69,47.92,52.08,26.37,56.86,67.282609
cocorna,15182,15513,15849,16179,16506,16842,17079,17212,17147,16722,15960,15444,15042,0,1,0,3,0,2,0,1,1,38,2,1,17,7.14,16.13,23.07,53.67,10.05,38.57,32.27,5.91,49.4,50.6,19.55,53.6,24.17619
concepcion,4591,4663,4728,4793,4864,4935,5002,5049,5025,4946,4812,4797,4760,0,0,0,2,0,0,2,2,0,1,0,0,0,5.49,14.13,21.27,59.12,7.7,41.74,39.94,1.22,51.4,48.6,25.01,44.87,8.275449
concordia,21361,21507,21695,21844,21647,21079,20895,20941,21029,21039,21058,21377,21504,0,2,0,3,2,1,1,1,2,9,2,0,2,5.64,15.17,24.56,54.64,15.41,34.94,34.25,1.24,49.84,50.16,28.1,66.9,22.787879
copacabana,63607,64326,65009,65893,67830,71485,73815,74740,75253,75706,76394,77884,80000,0,17,5,221,7,5,41,188,70,283,38,14,35,4.6,11.72,25.55,58.13,3.37,67.44,44.25,4.36,48.49,51.51,3.62,29.21,350.728571
dabeiba,20480,20756,21017,21288,21608,21932,22174,22375,22525,22588,22653,23044,23255,1,26,0,73,13,29,30,5,12,6,6,3,145,10.12,22.6,26.28,41.0,18.3,32.84,33.01,2.56,50.83,49.17,41.07,74.91,3.435475
